dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
javax.xml.bind:jaxb-api,org.slf4j:jcl-over-slf4j,65,304,311,0.21,0.21,0.21
javax.xml.bind:jaxb-api,org.apache.logging.log4j:log4j-slf4j-impl,48,304,242,0.16,0.2,0.2
org.projectlombok:lombok,org.scala-lang:scala-library,18,434,173,0.04,0.1,0.1
org.slf4j:slf4j-simple,org.springframework.security:spring-security-web,18,382,101,0.05,0.18,0.18
org.slf4j:slf4j-simple,xerces:xercesImpl,20,382,111,0.05,0.18,0.18
org.assertj:assertj-core,xerces:xercesImpl,20,454,111,0.04,0.18,0.18
org.apache.commons:commons-collections4,org.apache.curator:curator-recipes,30,233,131,0.13,0.23,0.23
io.netty:netty-all,org.springframework:spring-tx,25,226,172,0.11,0.15,0.15
io.netty:netty-all,org.apache.ant:ant,11,226,152,0.05,0.07,0.07
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.ow2.asm:asm,14,143,180,0.1,0.08,0.1
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.hibernate:hibernate-validator,16,143,148,0.11,0.11,0.11
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.slf4j:log4j-over-slf4j,24,143,122,0.17,0.2,0.2
commons-cli:commons-cli,org.hibernate.validator:hibernate-validator,16,376,102,0.04,0.16,0.16
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.glassfish.jaxb:jaxb-runtime,21,124,145,0.17,0.14,0.17
commons-collections:commons-collections,org.codehaus.jackson:jackson-mapper-asl,44,284,154,0.15,0.29,0.29
io.netty:netty-handler,joda-time:joda-time,24,119,380,0.2,0.06,0.2
io.netty:netty-handler,org.testcontainers:testcontainers,14,119,116,0.12,0.12,0.12
org.awaitility:awaitility,org.javassist:javassist,24,161,227,0.15,0.11,0.15
org.awaitility:awaitility,redis.clients:jedis,22,161,183,0.14,0.12,0.14
ch.qos.logback:logback-classic,org.json:json,56,703,228,0.08,0.25,0.25
ch.qos.logback:logback-classic,org.hibernate.validator:hibernate-validator,38,703,102,0.05,0.37,0.37
ch.qos.logback:logback-classic,org.postgresql:postgresql,95,703,245,0.14,0.39,0.39
ch.qos.logback:logback-classic,org.eclipse.jetty:jetty-servlet,73,703,202,0.1,0.36,0.36
commons-configuration:commons-configuration,org.hsqldb:hsqldb,16,149,197,0.11,0.08,0.11
javax.ws.rs:javax.ws.rs-api,org.apache.commons:commons-lang3,78,137,987,0.57,0.08,0.57
javax.ws.rs:javax.ws.rs-api,org.mybatis:mybatis,9,137,125,0.07,0.07,0.07
javax.ws.rs:javax.ws.rs-api,org.springframework:spring-test,34,137,339,0.25,0.1,0.25
org.mockito:mockito-core,org.slf4j:jcl-over-slf4j,145,916,311,0.16,0.47,0.47
com.fasterxml.jackson.core:jackson-databind,commons-collections:commons-collections,149,841,284,0.18,0.52,0.52
com.fasterxml.jackson.core:jackson-databind,org.quartz-scheduler:quartz,76,841,143,0.09,0.53,0.53
com.squareup.okhttp3:okhttp,org.codehaus.jackson:jackson-core-asl,7,233,100,0.03,0.07,0.07
org.apache.maven.plugin-tools:maven-plugin-annotations,org.apache.maven:maven-artifact,77,229,125,0.34,0.62,0.62
javax.validation:validation-api,org.springframework:spring-web,56,197,292,0.28,0.19,0.28
javax.validation:validation-api,org.easymock:easymock,20,197,179,0.1,0.11,0.11
javax.inject:javax.inject,org.openjdk.jmh:jmh-generator-annprocess,16,186,201,0.09,0.08,0.09
org.antlr:antlr4-runtime,org.openjdk.jmh:jmh-generator-annprocess,19,109,201,0.17,0.09,0.17
org.hamcrest:hamcrest-core,org.hibernate:hibernate-validator,23,216,148,0.11,0.16,0.16
org.hamcrest:hamcrest-core,org.springframework:spring-test,47,216,339,0.22,0.14,0.22
com.fasterxml.jackson.core:jackson-core,org.powermock:powermock-module-junit4,67,532,203,0.13,0.33,0.33
com.fasterxml.jackson.core:jackson-core,org.apache.commons:commons-lang3,281,532,987,0.53,0.28,0.53
com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-core-asl,45,532,100,0.08,0.45,0.45
com.sun.xml.bind:jaxb-impl,org.springframework:spring-context-support,27,160,155,0.17,0.17,0.17
com.google.inject:guice,org.apache.lucene:lucene-core,11,192,137,0.06,0.08,0.08
com.google.inject:guice,org.hamcrest:hamcrest,15,192,151,0.08,0.1,0.1
org.apache.kafka:kafka-clients,org.springframework:spring-web,33,162,292,0.2,0.11,0.2
jakarta.xml.bind:jakarta.xml.bind-api,org.springframework:spring-tx,16,114,172,0.14,0.09,0.14
commons-codec:commons-codec,org.ow2.asm:asm,59,596,180,0.1,0.33,0.33
junit:junit,org.apache.logging.log4j:log4j-api,227,2280,319,0.1,0.71,0.71
org.apache.maven:maven-artifact,org.springframework:spring-core,22,125,339,0.18,0.06,0.18
mysql:mysql-connector-java,org.hibernate:hibernate-entitymanager,48,537,108,0.09,0.44,0.44
org.apache.curator:curator-recipes,org.hamcrest:hamcrest,11,131,151,0.08,0.07,0.08
org.apache.curator:curator-recipes,org.glassfish.jaxb:jaxb-runtime,10,131,145,0.08,0.07,0.08
org.junit.jupiter:junit-jupiter,org.mockito:mockito-all,8,153,368,0.05,0.02,0.05
org.easymock:easymock,org.ow2.asm:asm,17,179,180,0.09,0.09,0.09
org.apache.commons:commons-pool2,org.apache.maven.plugin-tools:maven-plugin-annotations,12,118,229,0.1,0.05,0.1
net.java.dev.jna:jna,org.apache.poi:poi,12,160,139,0.08,0.09,0.09
io.dropwizard.metrics:metrics-core,org.antlr:antlr4-runtime,21,156,109,0.13,0.19,0.19
com.github.ben-manes.caffeine:caffeine,org.springframework:spring-tx,14,111,172,0.13,0.08,0.13
org.slf4j:slf4j-api,org.yaml:snakeyaml,167,1414,268,0.12,0.62,0.62
io.springfox:springfox-swagger2,org.testng:testng,6,143,288,0.04,0.02,0.04
org.apache.maven:maven-core,org.codehaus.plexus:plexus-utils,84,193,144,0.44,0.58,0.58
com.google.protobuf:protobuf-java,commons-httpclient:commons-httpclient,27,268,140,0.1,0.19,0.19
org.apache.avro:avro,org.postgresql:postgresql,27,123,245,0.22,0.11,0.22
org.apache.avro:avro,org.apache.maven:maven-plugin-api,17,123,264,0.14,0.06,0.14
javax.xml.bind:jaxb-api,org.springframework:spring-webmvc,52,304,264,0.17,0.2,0.2
org.eclipse.jetty:jetty-server,org.slf4j:slf4j-simple,52,267,382,0.19,0.14,0.19
org.eclipse.jetty:jetty-server,org.springframework:spring-jdbc,39,267,219,0.15,0.18,0.18
org.hsqldb:hsqldb,org.springframework:spring-context-support,33,197,155,0.17,0.21,0.21
javax.servlet:servlet-api,org.springframework:spring-tx,45,266,172,0.17,0.26,0.26
org.freemarker:freemarker,org.mockito:mockito-all,22,153,368,0.14,0.06,0.14
org.apache.httpcomponents:httpclient,org.slf4j:slf4j-log4j12,202,680,521,0.3,0.39,0.39
org.apache.poi:poi-ooxml,org.powermock:powermock-module-junit4,16,145,203,0.11,0.08,0.11
org.springframework.security:spring-security-web,org.springframework:spring-aop,50,101,180,0.5,0.28,0.5
